Rank,Album,Artist,Sales
1,THRILLER,MICHAEL JACKSON,66000000
2,BACK IN BLACK,AC/DC,50000000
3,DARK SIDE OF THE MOON,PINK FLOYD,50000000
4,THE BODYGUARD (SOUNDTRACK),WHITNEY HOUSTON,45000000
5,BAD,MICHAEL JACKSON,45000000
6,BAT OUT OF HELL,MEAT LOAF,43000000
7,HOTEL CALIFORNIA,EAGLES,42000000
8,THEIR GREATEST HITS 1971-1975,EAGLES,41197000
9,MILLENNIUM,BACKSTREET BOYS,40000000
10,COME ON OVER,SHANIA TWAIN,40000000
11,SATURDAY NIGHT FEVER (SOUNDTRACK),BEE GEES,40000000
12,RUMOURS,FLEETWOOD MAC,40000000
13,LED ZEPPELIN IV,LED ZEPPELIN,37000000
14,JAGGED LITTLE PILL,ALANIS MORISSETTE,33000000
15,METALLICA,METALLICA,33000000
16,THE WALL,PINK FLOYD,33000000
17,THE MARSHALL MATHERS LP,EMINEM,32000000
18,1,THE BEATLES,32000000
19,FALLING INTO YOU,CELINE DION,32000000
20,GOLD - GREATEST HITS,ABBA,32000000
21,DIRTY DANCING,SOUNDTRACK,32000000
22,SGT. PEPPER`S LONELY HEARTS CLUB BAND,THE BEATLES,32000000
23,GOODBYE YELLOW BRICK ROAD,ELTON JOHN,31000000
24,21,ADELE,30000000
25,LET`S TALK ABOUT LOVE,CELINE DION,30000000
26,TITANIC ,SOUNDTRACK,30000000
27,MUSIC BOX,MARIAH CAREY,30000000
28,NEVERMIND,NIRVANA,30000000
29,THE IMMACULATE COLLECTION,MADONNA,30000000
30,APPETITE FOR DESTRUCTION,GUNS N` ROSES,30000000
31,BROTHERS IN ARMS,DIRE STRAITS,30000000
32,BORN IN THE U.S.A.,BRUCE SPRINGSTEEN,30000000
33,IN-A-GADDA-DA-VIDA,IRON BUTTERFLY,30000000
34,LEGEND,BOB MARLEY & THE WAILERS,28000000
35,COME AWAY WITH ME,NORAH JONES,27000000
36,HYBRID THEORY,LINKIN PARK,27000000
37,...BABY ONE MORE TIME,BRITNEY SPEARS,27000000
38,DANGEROUS,MICHAEL JACKSON,27000000
39,UNPLUGGED,ERIC CLAPTON,26000000
40,FAITH,GEORGE MICHAEL,26000000
41,SUPERNATURAL,SANTANA,25000000
42,DAYDREAM,MARIAH CAREY,25000000
43,HAPPY NATION/THE SIGN,ACE OF BASE,25000000
44,GREATEST HITS,JOURNEY,25000000
45,HYSTERIA,DEF LEPPARD,25000000
46,THE JOSHUA TREE,U2,25000000
47,TRUE BLUE,MADONNA,25000000
48,NO JACKET REQUIRED,PHIL COLLINS,25000000
49,PURPLE RAIN (SOUNDTRACK),PRINCE,25000000
50,GREATEST HITS I,QUEEN,25000000
